"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"02","1","C85","","12_55 a 59","4"
"02","1","C91","","16_75 a 79","3"
"02","1","C92","","10_45 a 49","2"
"02","1","D37","","12_55 a 59","6"
"02","1","D38","","10_45 a 49","1"
"02","1","D41","","14_65 a 69","1"
"02","1","E10","","16_75 a 79","2"
"02","1","E11","","12_55 a 59","2"
"02","1","E11","","14_65 a 69","6"
"02","1","F03","","99_Sin especificar","1"
"02","1","F20","","11_50 a 54","1"
"02","1","G12","","09_40 a 44","1"
"02","1","G12","","13_60 a 64","3"
"02","1","G12","","14_65 a 69","3"
"02","1","G12","","15_70 a 74","4"
"02","1","G12","","16_75 a 79","1"
"02","1","G12","","17_80 y más","1"
"02","1","G40","","02_1 a 9","2"
"02","1","G40","","16_75 a 79","1"
"02","1","G41","","11_50 a 54","1"
"02","1","G41","","14_65 a 69","1"
"02","1","G91","","11_50 a 54","1"
"02","1","G91","","14_65 a 69","1"
"02","1","G91","","17_80 y más","1"
"02","1","G92","","12_55 a 59","1"
"02","1","G93","","16_75 a 79","1"
"02","1","G96","","16_75 a 79","1"
"02","1","I05","","14_65 a 69","1"
"02","1","I12","","16_75 a 79","1"
"02","1","I21","","06_25 a 29","2"
"02","1","I21","","16_75 a 79","99"
"02","1","I24","","13_60 a 64","3"
"02","1","I24","","14_65 a 69","4"
"02","1","I24","","17_80 y más","9"
"02","1","I25","","09_40 a 44","1"
"02","1","I25","","12_55 a 59","18"
"02","1","I34","","17_80 y más","4"
"02","1","I42","","06_25 a 29","3"
"02","1","I42","","15_70 a 74","111"
"02","1","I42","","17_80 y más","245"
"02","1","I47","","09_40 a 44","1"
"02","1","I48","","13_60 a 64","2"
"02","1","I48","","15_70 a 74","3"
"02","1","I48","","16_75 a 79","6"
"02","1","I48","","17_80 y más","23"
"02","1","I49","","10_45 a 49","1"
"02","1","I50","","06_25 a 29","1"
"02","1","I50","","15_70 a 74","94"
"02","1","I50","","16_75 a 79","113"
"02","1","I50","","17_80 y más","537"
"02","1","I63","","10_45 a 49","2"
"02","1","I77","","13_60 a 64","1"
"02","1","I77","","14_65 a 69","4"
"02","1","I77","","16_75 a 79","11"
"02","1","I95","","14_65 a 69","1"
"02","1","I95","","16_75 a 79","2"
"02","1","J81","","05_20 a 24","3"
"02","1","J84","","17_80 y más","15"
"02","1","K44","","17_80 y más","1"
"02","1","K55","","10_45 a 49","3"
"02","1","K56","","15_70 a 74","8"
"02","1","K65","","05_20 a 24","1"
"02","1","K72","","16_75 a 79","2"
"02","1","K72","","17_80 y más","1"
"02","1","I47","","15_70 a 74","19"
"02","1","I49","","13_60 a 64","14"
"02","1","I50","","05_20 a 24","1"
"02","1","I50","","13_60 a 64","37"
"02","1","I50","","14_65 a 69","64"
"02","1","I51","","11_50 a 54","1"
"02","1","I60","","08_35 a 39","1"
"02","1","I61","","10_45 a 49","7"
"02","1","I61","","12_55 a 59","11"
"02","1","I61","","13_60 a 64","12"
"02","1","I62","","12_55 a 59","5"
"02","1","I62","","13_60 a 64","3"
"02","1","I63","","16_75 a 79","7"
"02","1","I64","","17_80 y más","28"
"02","1","I67","","11_50 a 54","4"
"02","1","I67","","14_65 a 69","12"
"02","1","I67","","15_70 a 74","14"
