PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
58;1;V19;NULL;17_80 y más;1
82;1;K26;NULL;16_75 a 79;4
86;1;V24;NULL;06_25 a 29;3
06;1;J18;NULL;16_75 a 79;1093
06;1;G23;NULL;12_55 a 59;1
06;2;C73;NULL;15_70 a 74;6
06;2;J84;NULL;09_40 a 44;2
22;1;J45;NULL;10_45 a 49;1
38;2;C25;NULL;17_80 y más;2
54;1;C64;NULL;15_70 a 74;1
38;1;X59;NULL;11_50 a 54;2
06;2;I67;NULL;11_50 a 54;13
26;2;C53;NULL;09_40 a 44;2
62;1;E66;NULL;07_30 a 34;2
02;2;K85;NULL;12_55 a 59;2
50;1;I82;NULL;11_50 a 54;1
22;1;N39;NULL;10_45 a 49;1
22;2;J18;NULL;15_70 a 74;40
38;1;E14;NULL;14_65 a 69;12
50;2;W18;NULL;17_80 y más;3
54;1;J18;NULL;06_25 a 29;3
34;1;A50;NULL;01_Menor de 1 año;1
42;2;K46;NULL;15_70 a 74;1
30;2;R96;NULL;16_75 a 79;5
30;2;J69;NULL;16_75 a 79;5
18;1;X70;NULL;05_20 a 24;12
06;2;E03;NULL;17_80 y más;8
62;1;I10;NULL;14_65 a 69;3
74;1;C16;NULL;16_75 a 79;3
06;1;R99;NULL;11_50 a 54;89
22;1;D89;NULL;08_35 a 39;1
22;1;C45;NULL;13_60 a 64;1
62;2;J44;NULL;17_80 y más;17
74;1;I48;NULL;16_75 a 79;1
82;1;K65;NULL;10_45 a 49;3
90;2;Y83;NULL;17_80 y más;2
18;1;K70;NULL;17_80 y más;1
66;2;B20;NULL;09_40 a 44;1
82;1;R00;NULL;16_75 a 79;1
82;2;V24;NULL;03_10 a 14;1
14;2;I38;NULL;15_70 a 74;2
22;1;X53;NULL;17_80 y más;1
70;1;J98;NULL;14_65 a 69;1
99;1;U07;NULL;08_35 a 39;1
02;2;A04;NULL;15_70 a 74;3
06;2;D32;NULL;16_75 a 79;3
02;2;Q28;NULL;03_10 a 14;1
02;2;C38;NULL;17_80 y más;2
74;1;I64;NULL;12_55 a 59;2
30;2;I50;NULL;10_45 a 49;3
42;2;C18;NULL;16_75 a 79;4
02;1;J15;NULL;17_80 y más;62
82;1;J98;NULL;06_25 a 29;1
70;2;K65;NULL;14_65 a 69;1
82;2;D48;NULL;13_60 a 64;5
50;2;J18;NULL;14_65 a 69;47
66;1;V47;NULL;03_10 a 14;1
02;2;C85;NULL;11_50 a 54;1
46;2;N39;NULL;13_60 a 64;2
86;1;J15;NULL;12_55 a 59;1
06;2;D53;NULL;17_80 y más;24
22;2;C53;NULL;14_65 a 69;4
18;2;U07;NULL;11_50 a 54;41
90;2;K82;NULL;08_35 a 39;1
50;2;P28;NULL;01_Menor de 1 año;2
62;2;I50;NULL;17_80 y más;113
26;2;B57;NULL;15_70 a 74;2
14;1;I50;NULL;15_70 a 74;121
14;1;Y28;NULL;11_50 a 54;1
14;2;J45;NULL;15_70 a 74;1
58;1;C18;NULL;10_45 a 49;1
06;1;Y21;NULL;10_45 a 49;2
26;1;I74;NULL;14_65 a 69;1
14;2;C41;NULL;15_70 a 74;3
30;2;G70;NULL;13_60 a 64;1
54;1;G20;NULL;17_80 y más;1
74;2;I10;NULL;13_60 a 64;1
90;2;C76;NULL;14_65 a 69;1
38;1;C25;NULL;15_70 a 74;5
90;2;R99;NULL;11_50 a 54;3
62;1;X59;NULL;06_25 a 29;1
90;1;J84;NULL;17_80 y más;2
70;1;Y12;NULL;05_20 a 24;1
02;2;D48;NULL;01_Menor de 1 año;1
18;1;K65;NULL;15_70 a 74;1
02;2;Y34;NULL;17_80 y más;12
06;1;G40;NULL;07_30 a 34;3
22;2;U07;NULL;09_40 a 44;49
50;1;Y19;NULL;12_55 a 59;1
90;2;I61;NULL;07_30 a 34;2
62;2;Q23;NULL;01_Menor de 1 año;1
18;1;F10;NULL;16_75 a 79;1
99;1;A41;NULL;99_Sin especificar;4
06;1;I28;NULL;02_1 a 9;1
82;1;B17;NULL;16_75 a 79;1
18;1;K74;NULL;11_50 a 54;8
06;1;G12;NULL;14_65 a 69;11
99;9;C18;NULL;17_80 y más;1
06;9;N12;NULL;12_55 a 59;1
58;2;I21;NULL;09_40 a 44;1
06;2;G62;NULL;17_80 y más;2
54;2;D69;NULL;05_20 a 24;2
90;1;G92;NULL;16_75 a 79;1
02;1;J18;NULL;13_60 a 64;71
02;2;W79;NULL;16_75 a 79;1
22;2;E66;NULL;13_60 a 64;1
54;1;K55;NULL;17_80 y más;2
02;2;I77;NULL;12_55 a 59;1
02;2;C17;NULL;14_65 a 69;2
82;1;D47;NULL;14_65 a 69;1
18;1;I69;NULL;12_55 a 59;2
70;1;X74;NULL;11_50 a 54;1
02;1;C76;NULL;10_45 a 49;1
30;2;C23;NULL;15_70 a 74;1
18;2;C80;NULL;04_15 a 19;1
14;1;W11;NULL;14_65 a 69;1
06;9;E14;NULL;11_50 a 54;2
22;1;J44;NULL;02_1 a 9;1
30;2;Y34;NULL;04_15 a 19;1
90;1;J85;NULL;17_80 y más;1
02;1;I49;NULL;07_30 a 34;1
86;2;K56;NULL;11_50 a 54;2
14;2;C90;NULL;17_80 y más;4
54;1;M32;NULL;10_45 a 49;1
10;2;I49;NULL;10_45 a 49;3
70;2;I69;NULL;15_70 a 74;3
06;1;C18;NULL;99_Sin especificar;8
02;2;G93;NULL;07_30 a 34;3
14;2;E66;NULL;08_35 a 39;2
74;1;V17;NULL;04_15 a 19;1
66;1;Q02;NULL;01_Menor de 1 año;1
14;1;R57;NULL;10_45 a 49;15
30;2;I33;NULL;13_60 a 64;1
10;2;C55;NULL;12_55 a 59;1
14;1;I25;NULL;09_40 a 44;5
82;2;D48;NULL;15_70 a 74;4
82;2;C15;NULL;10_45 a 49;2
06;2;A46;NULL;16_75 a 79;1
22;2;V02;NULL;04_15 a 19;1
62;2;R68;NULL;17_80 y más;13
06;1;D41;NULL;17_80 y más;2
22;1;D37;NULL;13_60 a 64;1
86;1;X42;NULL;05_20 a 24;1
34;2;C55;NULL;12_55 a 59;1
78;1;K72;NULL;14_65 a 69;3
82;2;K25;NULL;17_80 y más;10
86;1;G96;NULL;14_65 a 69;1
06;2;Q39;NULL;01_Menor de 1 año;3
14;1;V47;NULL;16_75 a 79;1
90;2;A18;NULL;12_55 a 59;1
14;2;C41;NULL;13_60 a 64;1
38;2;I62;NULL;12_55 a 59;2
50;1;E66;NULL;15_70 a 74;1
06;2;C73;NULL;17_80 y más;16
78;1;Y34;NULL;04_15 a 19;1
82;1;B18;NULL;11_50 a 54;1
98;2;C91;NULL;13_60 a 64;1
14;2;K82;NULL;08_35 a 39;1
50;1;I61;NULL;16_75 a 79;19
62;2;C02;NULL;15_70 a 74;1
22;1;L10;NULL;14_65 a 69;1
82;1;J86;NULL;17_80 y más;2
58;1;M05;NULL;17_80 y más;1
26;1;C25;NULL;11_50 a 54;2
14;2;G91;NULL;17_80 y más;3
82;2;J69;NULL;11_50 a 54;1
90;2;C53;NULL;15_70 a 74;2
90;2;K70;NULL;12_55 a 59;1
18;1;I64;NULL;09_40 a 44;1
06;2;C15;NULL;15_70 a 74;33
70;2;D38;NULL;17_80 y más;3
82;1;C85;NULL;15_70 a 74;11
62;2;E14;NULL;13_60 a 64;3
82;2;J81;NULL;14_65 a 69;3
66;1;V58;NULL;07_30 a 34;1
82;1;C26;NULL;17_80 y más;6
82;2;B24;NULL;12_55 a 59;4
70;2;B24;NULL;12_55 a 59;1
70;1;I47;NULL;12_55 a 59;5
99;9;Y28;NULL;08_35 a 39;1
46;1;I42;NULL;14_65 a 69;1
30;2;C64;NULL;12_55 a 59;2
58;2;U07;NULL;14_65 a 69;74
46;1;C21;NULL;14_65 a 69;1
50;2;G80;NULL;03_10 a 14;2
62;2;I61;NULL;10_45 a 49;2
02;1;J96;NULL;12_55 a 59;6
78;1;I49;NULL;13_60 a 64;2
90;1;Y83;NULL;15_70 a 74;2
18;2;I11;NULL;10_45 a 49;1
06;1;J15;NULL;17_80 y más;162
02;2;R09;NULL;10_45 a 49;1
06;1;L02;NULL;17_80 y más;1
30;1;C64;NULL;14_65 a 69;6
99;2;C18;NULL;08_35 a 39;1
18;2;D37;NULL;10_45 a 49;2
30;1;I49;NULL;17_80 y más;5
66;1;D41;NULL;11_50 a 54;1
82;2;A09;NULL;09_40 a 44;1
90;1;R18;NULL;12_55 a 59;1
62;1;K74;NULL;15_70 a 74;8
62;1;I46;NULL;12_55 a 59;1
02;1;C80;NULL;02_1 a 9;1
54;2;J98;NULL;14_65 a 69;1
86;2;C54;NULL;13_60 a 64;1
70;1;R99;NULL;17_80 y más;15
06;2;E87;NULL;12_55 a 59;2
06;1;I31;NULL;17_80 y más;3
78;1;C20;NULL;09_40 a 44;1
86;2;X99;NULL;07_30 a 34;2
86;1;I48;NULL;16_75 a 79;1
74;1;I67;NULL;11_50 a 54;1
06;2;J18;NULL;16_75 a 79;896
70;2;C22;NULL;17_80 y más;10
90;1;N18;NULL;17_80 y más;12
38;2;E11;NULL;17_80 y más;4
50;1;N42;NULL;16_75 a 79;1
66;1;V24;NULL;07_30 a 34;2
90;2;I62;NULL;10_45 a 49;1
06;2;K83;NULL;08_35 a 39;2
02;1;C61;NULL;16_75 a 79;57
06;2;F29;NULL;14_65 a 69;1
62;2;K46;NULL;10_45 a 49;1
74;1;K25;NULL;13_60 a 64;1
50;1;I12;NULL;16_75 a 79;3
18;1;I42;NULL;10_45 a 49;1
02;1;R58;NULL;17_80 y más;4
50;1;M06;NULL;16_75 a 79;1
94;1;C48;NULL;12_55 a 59;1
90;2;C80;NULL;14_65 a 69;5
78;1;N18;NULL;15_70 a 74;1
34;2;E14;NULL;13_60 a 64;10
38;2;I50;NULL;09_40 a 44;2
70;1;R57;NULL;15_70 a 74;5
38;1;B20;NULL;12_55 a 59;2
26;1;F03;NULL;15_70 a 74;1
14;1;W18;NULL;14_65 a 69;1
86;1;C16;NULL;16_75 a 79;2
02;1;I72;NULL;14_65 a 69;1
22;1;I25;NULL;09_40 a 44;1
38;2;J96;NULL;11_50 a 54;4
66;2;I44;NULL;11_50 a 54;1
74;1;C61;NULL;14_65 a 69;3
82;2;R57;NULL;13_60 a 64;3
46;2;I51;NULL;17_80 y más;1
18;2;C24;NULL;16_75 a 79;1
06;2;A18;NULL;11_50 a 54;1
54;2;C22;NULL;15_70 a 74;3
82;1;J15;NULL;09_40 a 44;9
10;1;R04;NULL;16_75 a 79;1
58;1;C23;NULL;17_80 y más;1
22;1;C25;NULL;11_50 a 54;3
46;1;N39;NULL;13_60 a 64;2
66;1;B20;NULL;09_40 a 44;5
78;1;C34;NULL;14_65 a 69;3
90;1;E14;NULL;17_80 y más;31
06;1;Y09;NULL;14_65 a 69;3
42;1;J44;NULL;12_55 a 59;1
66;2;W79;NULL;08_35 a 39;1
58;2;I60;NULL;15_70 a 74;1
06;2;X70;NULL;05_20 a 24;16
10;2;I50;NULL;14_65 a 69;2
06;1;V43;NULL;16_75 a 79;1
02;2;C49;NULL;14_65 a 69;2
78;1;I42;NULL;12_55 a 59;1
