"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"82","1","V22","","06_25 a 29","1"
"30","1","D48","","17_80 y más","1"
"42","1","I50","","17_80 y más","7"
"70","1","W36","","07_30 a 34","1"
"82","1","Y30","","06_25 a 29","1"
"54","1","K72","","11_50 a 54","4"
"99","2","C50","","16_75 a 79","2"
"10","2","M19","","17_80 y más","1"
"14","1","V64","","05_20 a 24","1"
"58","2","C34","","16_75 a 79","6"
"18","1","C05","","10_45 a 49","1"
"82","1","I49","","17_80 y más","76"
"58","2","M32","","11_50 a 54","1"
"18","2","R56","","17_80 y más","1"
"38","2","I21","","12_55 a 59","2"
"66","1","D53","","10_45 a 49","1"
"78","1","C34","","15_70 a 74","5"
"26","1","V18","","03_10 a 14","1"
"22","2","J18","","15_70 a 74","32"
"06","1","Y28","","99_Sin especificar","7"
"54","1","J18","","06_25 a 29","5"
"54","2","R99","","12_55 a 59","2"
"34","1","V89","","04_15 a 19","1"
"14","1","C67","","11_50 a 54","2"
"78","1","I34","","09_40 a 44","1"
"86","1","C32","","14_65 a 69","1"
"82","2","V48","","13_60 a 64","1"
"58","1","K29","","12_55 a 59","2"
"58","2","I11","","14_65 a 69","1"
"34","2","A04","","16_75 a 79","1"
"18","1","X70","","05_20 a 24","17"
"02","2","M86","","17_80 y más","13"
"62","2","Y17","","11_50 a 54","1"
"82","1","E88","","14_65 a 69","1"
"66","2","C73","","11_50 a 54","1"
"06","1","R99","","11_50 a 54","68"
"06","1","V78","","04_15 a 19","1"
"34","2","N19","","11_50 a 54","1"
"06","1","W84","","13_60 a 64","6"
"22","1","V20","","05_20 a 24","1"
"66","2","B20","","09_40 a 44","1"
"06","2","C18","","13_60 a 64","123"
"50","1","V18","","06_25 a 29","1"
"06","2","B90","","10_45 a 49","2"
"14","2","I38","","15_70 a 74","3"
"14","1","N30","","16_75 a 79","1"
"58","1","F20","","05_20 a 24","1"
"06","1","C64","","06_25 a 29","1"
"14","2","J46","","04_15 a 19","1"
"30","1","I61","","16_75 a 79","13"
"54","2","I64","","16_75 a 79","50"
"06","2","M34","","12_55 a 59","3"
"58","1","W17","","08_35 a 39","1"
"06","2","Y11","","12_55 a 59","1"
"90","1","G40","","13_60 a 64","1"
"38","1","K85","","08_35 a 39","1"
"90","2","F17","","11_50 a 54","1"
"14","2","Q04","","01_Menor de 1 año","2"
"14","2","I42","","14_65 a 69","2"
"62","1","C25","","15_70 a 74","4"
"82","2","C65","","14_65 a 69","1"
"38","1","I27","","15_70 a 74","1"
"06","2","I11","","02_1 a 9","2"
"70","2","K65","","14_65 a 69","1"
"54","1","W87","","03_10 a 14","1"
"46","2","E10","","07_30 a 34","1"
"62","1","C01","","09_40 a 44","1"
"14","1","C16","","16_75 a 79","21"
"50","2","J18","","14_65 a 69","23"
"14","1","E10","","07_30 a 34","2"
"62","1","C64","","11_50 a 54","3"
