"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"10","1","B94","","15_70 a 74","1"
"46","1","C34","","14_65 a 69","9"
"06","1","V48","","03_10 a 14","1"
"50","1","I51","","17_80 y más","8"
"50","2","C55","","10_45 a 49","2"
"46","2","C73","","13_60 a 64","1"
"90","1","D64","","14_65 a 69","1"
"34","1","I61","","12_55 a 59","6"
"30","1","E16","","13_60 a 64","1"
"38","1","I50","","09_40 a 44","1"
"74","2","C32","","12_55 a 59","1"
"90","1","N40","","16_75 a 79","1"
"82","1","L89","","08_35 a 39","1"
"06","1","I80","","13_60 a 64","1"
"22","2","C20","","15_70 a 74","1"
"50","2","J44","","16_75 a 79","23"
"10","1","I50","","14_65 a 69","6"
"26","1","C64","","15_70 a 74","3"
"50","2","C17","","14_65 a 69","2"
"90","2","J22","","11_50 a 54","2"
"78","2","N18","","17_80 y más","1"
"30","1","R96","","12_55 a 59","6"
"54","2","C16","","13_60 a 64","8"
"54","2","C94","","13_60 a 64","1"
"74","2","N05","","01_Menor de 1 año","1"
"06","1","R68","","17_80 y más","28"
"06","1","D47","","11_50 a 54","2"
"18","1","C49","","05_20 a 24","1"
"50","1","B21","","08_35 a 39","1"
"82","1","Y30","","11_50 a 54","1"
"06","1","J85","","13_60 a 64","1"
"18","2","I10","","13_60 a 64","1"
"82","2","I10","","11_50 a 54","1"
"02","2","Y34","","15_70 a 74","5"
"06","1","R54","","99_Sin especificar","1"
"50","2","X70","","07_30 a 34","3"
"90","1","C18","","11_50 a 54","6"
"50","1","K65","","16_75 a 79","4"
"66","2","I31","","17_80 y más","1"
"70","1","V24","","06_25 a 29","1"
"70","1","P22","","01_Menor de 1 año","3"
"50","2","P21","","01_Menor de 1 año","2"
"06","1","I61","","11_50 a 54","72"
"78","2","R09","","06_25 a 29","1"
"22","2","I35","","16_75 a 79","3"
"50","2","C53","","11_50 a 54","11"
"58","2","C15","","11_50 a 54","1"
"90","2","E84","","17_80 y más","1"
"02","1","C83","","06_25 a 29","1"
"99","1","I21","","16_75 a 79","1"
"14","1","W74","","08_35 a 39","2"
"06","1","F20","","08_35 a 39","1"
"34","1","R99","","14_65 a 69","8"
"06","1","Q26","","01_Menor de 1 año","2"
"99","1","J69","","10_45 a 49","1"
"82","2","I49","","11_50 a 54","4"
"99","1","J96","","08_35 a 39","1"
"34","1","E14","","10_45 a 49","5"
"86","1","R99","","04_15 a 19","3"
"90","1","I69","","16_75 a 79","4"
"66","2","J98","","01_Menor de 1 año","1"
"66","1","N28","","09_40 a 44","1"
"90","2","J98","","17_80 y más","118"
"22","2","Y26","","12_55 a 59","1"
"38","1","I51","","17_80 y más","5"
"62","2","J22","","17_80 y más","1"
"66","2","I61","","05_20 a 24","1"
"82","2","C32","","14_65 a 69","1"
"06","2","R99","","11_50 a 54","32"
"99","1","I21","","13_60 a 64","1"
"42","1","E14","","14_65 a 69","3"
"78","2","I10","","13_60 a 64","1"
"99","1","I60","","12_55 a 59","1"
"30","1","J96","","10_45 a 49","1"
"22","1","D37","","15_70 a 74","3"
"22","1","B90","","14_65 a 69","1"
"66","1","I50","","12_55 a 59","4"
"66","1","V22","","09_40 a 44","1"
"06","1","I11","","17_80 y más","376"
"14","1","G91","","17_80 y más","1"
