PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
18;1;J18;NULL;15_70 a 74;31
26;2;C20;NULL;12_55 a 59;1
02;2;D32;NULL;16_75 a 79;2
66;2;C81;NULL;11_50 a 54;1
50;1;I51;NULL;17_80 y más;6
50;2;C55;NULL;10_45 a 49;1
94;2;I60;NULL;15_70 a 74;1
38;2;C25;NULL;15_70 a 74;6
26;2;F05;NULL;17_80 y más;1
38;1;I50;NULL;09_40 a 44;2
42;1;K55;NULL;16_75 a 79;2
62;2;D38;NULL;14_65 a 69;1
06;2;I07;NULL;15_70 a 74;1
10;1;I50;NULL;14_65 a 69;5
14;2;C57;NULL;08_35 a 39;1
02;2;I42;NULL;15_70 a 74;79
78;2;N18;NULL;17_80 y más;1
22;2;C18;NULL;07_30 a 34;1
54;2;C16;NULL;13_60 a 64;1
14;2;I60;NULL;16_75 a 79;2
86;1;I71;NULL;11_50 a 54;1
82;1;D37;NULL;14_65 a 69;10
14;2;I50;NULL;15_70 a 74;68
99;1;C02;NULL;12_55 a 59;1
02;1;C32;NULL;10_45 a 49;1
82;1;Y30;NULL;11_50 a 54;2
30;2;I60;NULL;15_70 a 74;2
58;1;I71;NULL;17_80 y más;3
42;1;J18;NULL;09_40 a 44;2
34;2;X59;NULL;02_1 a 9;1
70;2;I86;NULL;12_55 a 59;1
02;2;Y34;NULL;15_70 a 74;4
50;1;K65;NULL;16_75 a 79;1
70;1;V24;NULL;06_25 a 29;2
78;1;C15;NULL;11_50 a 54;1
22;1;C49;NULL;17_80 y más;2
70;1;P22;NULL;01_Menor de 1 año;5
82;2;X70;NULL;17_80 y más;1
50;2;C53;NULL;11_50 a 54;9
06;1;I61;NULL;11_50 a 54;80
99;1;I21;NULL;16_75 a 79;6
74;2;J09;NULL;15_70 a 74;1
66;1;J44;NULL;15_70 a 74;19
66;1;J96;NULL;10_45 a 49;4
66;2;R68;NULL;15_70 a 74;4
38;2;Q34;NULL;01_Menor de 1 año;1
34;1;R99;NULL;14_65 a 69;4
54;1;C48;NULL;16_75 a 79;1
82;2;I49;NULL;11_50 a 54;5
82;2;D69;NULL;15_70 a 74;1
54;2;C43;NULL;13_60 a 64;1
58;2;K76;NULL;11_50 a 54;1
50;2;I34;NULL;17_80 y más;2
38;2;L08;NULL;10_45 a 49;1
90;2;J98;NULL;17_80 y más;118
70;2;I47;NULL;12_55 a 59;1
22;1;D41;NULL;16_75 a 79;1
62;1;C60;NULL;10_45 a 49;1
02;1;I11;NULL;13_60 a 64;3
22;1;R99;NULL;01_Menor de 1 año;5
78;1;X93;NULL;06_25 a 29;1
06;2;E78;NULL;15_70 a 74;1
99;1;I21;NULL;13_60 a 64;6
34;2;C56;NULL;14_65 a 69;3
99;1;C85;NULL;15_70 a 74;1
86;1;K56;NULL;11_50 a 54;1
06;2;R99;NULL;11_50 a 54;54
99;1;I60;NULL;12_55 a 59;1
30;1;J96;NULL;10_45 a 49;1
46;1;I47;NULL;08_35 a 39;1
06;1;W13;NULL;06_25 a 29;1
06;1;B00;NULL;16_75 a 79;1
66;2;J84;NULL;17_80 y más;15
